total elements,cutoff clustering,allelic mismatches,number partitions ,silhouette,noise silhouette low,noise silhouette av,noise silhouette up,noise aWallace1 low,noise aWallace1 av,noise aWallace1 up,noise aWallace2 low,noise aWallace2 av,noise aWallace2 up,nAUC silhouette low,nAUC silhouette av,nAUC silhouette up,nAUC aWallace1 low,nAUC aWallace1 av,nAUC aWallace1 up,nAUC aWallace2 low,nAUC aWallace2 av,nAUC aWallace2 up
1665,0.001547988,2.02012434,1132,0.263465,0.206256,0.312503,0.487024,0.615337,0.836625,1,0.203979,0.900963,1,0.594602,0.608999,0.625856,1,1,1,0.883911,0.956632,0.998214
1665,0.001549187,2.021689035,1129,0.265407,0.206214,0.311489,0.488846,0.615651,0.854549,1,0.203875,0.867861,1,0.595913,0.609339,0.625004,1,1,1,0.886495,0.9546,0.998255
1665,0.001550388,2.02325634,1119,0.276227,0.215465,0.322672,0.494809,0.655232,0.867729,1,0.191559,0.899001,1,0.599424,0.613956,0.632084,1,1,1,0.895819,0.961725,0.99798
1665,0.00155159,2.02482495,1118,0.279769,0.209263,0.329802,0.535726,0.64568,0.856167,1,0.190266,0.901781,1,0.601769,0.615433,0.632327,1,1,1,0.90842,0.963729,0.998811
1665,0.001552795,2.026397475,1116,0.279707,0.215944,0.30438,0.489797,0.665364,0.905542,1,0.19013,0.836945,1,0.600365,0.614962,0.634821,1,1,1,0.897105,0.963094,0.998827
1665,0.00155642,2.0311281,1115,0.280625,0.204228,0.321634,0.511171,0.652512,0.866138,1,0.190115,0.881729,1,0.601809,0.615807,0.632727,1,1,1,0.905531,0.96432,0.998189
1665,0.001557632,2.03270976,1113,0.281227,0.211452,0.324519,0.528807,0.660366,0.85234,1,0.19007,0.878679,1,0.601979,0.615701,0.633379,1,1,1,0.902894,0.964509,0.998582
1665,0.001560062,2.03588091,1112,0.28272,0.208175,0.321714,0.489657,0.660523,0.863364,1,0.190025,0.86655,1,0.60143,0.616333,0.634298,1,1,1,0.903768,0.96387,0.99898
1665,0.00156128,2.0374704,1111,0.28322,0.201044,0.316366,0.51242,0.652874,0.88385,1,0.19001,0.837835,1,0.602121,0.616792,0.633399,1,1,1,0.900993,0.963435,0.998511
1665,0.0015625,2.0390625,1109,0.284478,0.202592,0.303007,0.499057,0.660681,0.895476,1,0.18998,0.818615,1,0.602445,0.616843,0.634102,1,1,1,0.895714,0.962712,0.998704
1665,0.001563722,2.04065721,1108,0.284878,0.207226,0.310217,0.489038,0.660733,0.8803,1,0.189965,0.861792,1,0.60301,0.617,0.633566,1,1,1,0.905575,0.963641,0.998391
1665,0.001566171,2.043853155,1107,0.285535,0.199501,0.300847,0.503974,0.653082,0.893164,1,0.18995,0.834051,1,0.603086,0.61778,0.636139,1,1,1,0.901506,0.963322,0.998797
1665,0.001571092,2.05027506,1106,0.287268,0.202857,0.318235,0.488945,0.660995,0.87612,1,0.189889,0.840848,1,0.602785,0.617607,0.634251,1,1,1,0.899212,0.961357,0.998246
1665,0.001581028,2.06324154,1105,0.288183,0.203186,0.320065,0.505982,0.653477,0.882189,1,0.189874,0.853499,1,0.604214,0.618276,0.63519,1,1,1,0.902228,0.964559,0.99868
1665,0.002298851,3.000000555,1104,0.288535,0.202205,0.346096,0.496899,0.653444,0.804313,1,0.743216,0.940147,1,0.604657,0.618408,0.635234,1,1,1,0.902149,0.962067,0.998769
1665,0.002300614,3.00230127,1098,0.289651,0.214394,0.361386,0.531758,0.639531,0.805037,1,0.741514,0.960153,1,0.603566,0.618708,0.634893,1,1,1,0.903322,0.964633,0.998491
1665,0.002302379,3.004604595,1094,0.28911,0.22109,0.355828,0.540338,0.642058,0.788098,1,0.188604,0.947465,1,0.603873,0.61932,0.638296,1,1,1,0.900904,0.961792,0.996963
1665,0.002304147,3.006911835,1088,0.29564,0.214613,0.363838,0.535341,0.654552,0.781942,1,0.734772,0.952759,1,0.606597,0.621,0.63693,1,1,1,0.891861,0.961729,0.998241
1665,0.002305919,3.009224295,1087,0.295684,0.22503,0.354313,0.555448,0.654706,0.816622,1,0.734599,0.954069,1,0.607662,0.621867,0.640498,1,1,1,0.898468,0.961969,0.996388
1665,0.002307692,3.01153806,1083,0.294742,0.214465,0.359038,0.521034,0.664268,0.791311,1,0.731338,0.95582,1,0.606894,0.621214,0.638156,1,1,1,0.902389,0.960897,0.997693
1665,0.002309469,3.013857045,1079,0.298015,0.206969,0.347387,0.509924,0.682247,0.829683,1,0.711839,0.933062,1,0.608667,0.624433,0.642655,1,1,1,0.893593,0.957729,0.995876
1665,0.002311248,3.01617864,1076,0.298679,0.206315,0.354124,0.519761,0.681543,0.820536,1,0.180404,0.932639,1,0.611315,0.626362,0.642516,1,1,1,0.894943,0.958198,0.995974
1665,0.00231303,3.01850415,1074,0.298209,0.192581,0.347956,0.523484,0.691643,0.841427,1,0.690298,0.93086,1,0.612604,0.627767,0.648187,1,1,1,0.908822,0.959558,0.996073
1665,0.002314815,3.020833575,1073,0.302949,0.220857,0.35423,0.52373,0.702389,0.831373,1,0.174905,0.934272,1,0.613974,0.630658,0.650913,1,1,1,0.91004,0.962301,0.99646
1665,0.002316602,3.02316561,1067,0.327829,0.198198,0.357341,0.53466,0.699303,0.84191,1,0.677987,0.919069,1,0.616502,0.63469,0.653133,1,1,1,0.907239,0.959174,0.996031
1665,0.002320186,3.02784273,1065,0.32838,0.222444,0.369875,0.54102,0.699434,0.826299,1,0.678006,0.928308,1,0.616765,0.634898,0.65351,1,1,1,0.90547,0.958006,0.994165
1665,0.002321981,3.030185205,1063,0.329774,0.208324,0.34903,0.512108,0.709786,0.846153,1,0.67781,0.915678,1,0.617318,0.635868,0.655579,1,1,1,0.905449,0.959392,0.996105
1665,0.00232378,3.0325329,1061,0.331221,0.205554,0.350255,0.539556,0.699789,0.837094,1,0.677663,0.909282,1,0.618015,0.636628,0.656356,1,1,1,0.904685,0.95883,0.995653
1665,0.002325581,3.034883205,1055,0.312981,0.211172,0.360034,0.518265,0.909341,0.965194,1,0.534068,0.877708,1,0.611462,0.632277,0.664967,1,1,1,0.896478,0.959317,0.996612
1665,0.002327386,3.03723873,1052,0.327603,0.216773,0.352948,0.527964,0.907353,0.971959,1,0.530223,0.845025,1,0.614513,0.636767,0.665799,1,1,1,0.904938,0.960449,0.995582
1665,0.002331002,3.04195761,1051,0.32879,0.204149,0.348252,0.543471,0.89443,0.974511,1,0.530193,0.859833,1,0.618103,0.639398,0.668535,1,1,1,0.916029,0.968208,0.997641
1665,0.002332815,3.044323575,1050,0.329756,0.225719,0.360112,0.533277,0.909718,0.9717,1,0.13538,0.86856,1,0.618373,0.639199,0.66814,1,1,1,0.9183,0.967848,0.996781
1665,0.002336449,3.049065945,1047,0.3321,0.205366,0.343168,0.522078,0.90843,0.975508,1,0.135326,0.829873,1,0.616859,0.639651,0.66685,1,1,1,0.914084,0.965918,0.997574
1665,0.00233827,3.05144235,1046,0.331968,0.208719,0.35763,0.514866,0.916905,0.973785,1,0.529831,0.889331,1,0.618027,0.638865,0.663684,1,1,1,0.919755,0.965721,0.997091
1665,0.00234192,3.0562056,1043,0.332649,0.198742,0.348471,0.516374,0.91727,0.977852,1,0.529452,0.858626,1,0.619902,0.640518,0.668819,1,1,1,0.910536,0.966857,0.99715
1665,0.00234375,3.05859375,1042,0.333873,0.201048,0.337796,0.499829,0.917896,0.981598,1,0.135149,0.824836,1,0.618601,0.64081,0.668091,1,1,1,0.911719,0.966745,0.99629
1665,0.002345582,3.06098451,1041,0.335058,0.205441,0.337158,0.52431,0.909058,0.98034,1,0.135141,0.836625,1,0.619871,0.641005,0.669423,1,1,1,0.913232,0.965094,0.996959
1665,0.002367798,3.08997639,1040,0.335551,0.220603,0.360812,0.529406,0.908451,0.971636,1,0.529031,0.883995,1,0.619913,0.640965,0.664738,1,1,1,0.914106,0.966673,0.9967
1665,0.002512563,3.278894715,1039,0.336743,0.204941,0.349763,0.517726,0.912517,0.975795,1,0.529169,0.860886,1,0.621612,0.641901,0.672053,1,1,1,0.914594,0.967061,0.996833
1665,0.002531646,3.30379803,1038,0.337969,0.225692,0.352102,0.551549,0.896314,0.97627,1,0.529079,0.859518,1,0.619695,0.641355,0.668876,1,1,1,0.922129,0.966203,0.996376
1665,0.003067485,4.003067925,1031,0.338267,0.204877,0.370864,0.538342,0.894673,0.96799,1,0.526179,0.889659,1,0.621813,0.641967,0.671254,1,1,1,0.907165,0.961935,0.99542
1665,0.003069839,4.006139895,1027,0.338786,0.232486,0.390467,0.526112,0.905584,0.963645,1,0.523663,0.93135,1,0.621157,0.64331,0.67184,1,1,1,0.905939,0.962433,0.994829
1665,0.003074558,4.01229819,1026,0.339784,0.222839,0.385692,0.540335,0.906399,0.965907,1,0.523192,0.907709,1,0.623002,0.643733,0.672308,1,1,1,0.905309,0.963367,0.996358
1665,0.003076923,4.015384515,1014,0.340366,0.227124,0.398007,0.522751,0.920665,0.973211,1,0.515085,0.956599,1,0.622421,0.64484,0.671418,1,1,1,0.909216,0.959788,0.995157
1665,0.003079292,4.01847606,1013,0.341252,0.221949,0.392248,0.529166,0.922551,0.975672,1,0.514032,0.923241,1,0.623569,0.644703,0.673683,1,1,1,0.907432,0.96018,0.993742
1665,0.003081664,4.02157152,1011,0.345743,0.191785,0.377791,0.548003,0.917369,0.980679,1,0.512927,0.92105,1,0.623894,0.64544,0.673314,1,1,1,0.90976,0.960274,0.995231
1665,0.003088803,4.030887915,1010,0.346435,0.221775,0.386641,0.545735,0.924742,0.978168,1,0.512814,0.925424,1,0.630975,0.649669,0.677189,1,1,1,0.916649,0.966939,0.995792
1665,0.003093581,4.037123205,1007,0.347264,0.234631,0.384244,0.511398,0.939191,0.982854,1,0.512249,0.955091,1,0.631275,0.649806,0.678489,1,1,1,0.919298,0.966646,0.995726
1665,0.003095975,4.040247375,1004,0.348821,0.221089,0.398608,0.543782,0.919356,0.977887,1,0.512052,0.945644,1,0.631845,0.650624,0.678542,1,1,1,0.914107,0.966603,0.995491
1665,0.003098373,4.043376765,1001,0.351913,0.214411,0.380519,0.544861,0.916642,0.981374,1,0.511855,0.930955,1,0.632597,0.651063,0.678074,1,1,1,0.912334,0.965721,0.995558
1665,0.003100775,4.046511375,999,0.358795,0.210925,0.378104,0.531613,0.933051,0.98571,1,0.508247,0.920178,1,0.636992,0.657985,0.682965,1,1,1,0.942063,0.974248,0.996768
1665,0.00310559,4.05279495,998,0.358844,0.232941,0.381916,0.568817,0.933153,0.984398,1,0.508192,0.911256,1,0.637853,0.658129,0.683273,1,1,1,0.939259,0.974806,0.995851
1665,0.00311284,4.0622562,996,0.360693,0.230048,0.39182,0.527597,0.933255,0.98314,1,0.508136,0.932476,1,0.63884,0.659253,0.684135,1,1,1,0.941672,0.974418,0.9952
1665,0.003115265,4.065420825,995,0.361109,0.212319,0.377925,0.536168,0.927866,0.985673,1,0.508025,0.908147,1,0.63778,0.659073,0.684633,1,1,1,0.938763,0.974554,0.996778
1665,0.003120125,4.071763125,991,0.363009,0.224199,0.381705,0.528262,0.947362,0.985912,1,0.507831,0.907192,1,0.639415,0.660523,0.686366,1,1,1,0.941259,0.9755,0.996649
1665,0.003137255,4.094117775,990,0.363709,0.219439,0.394834,0.547381,0.927,0.98417,1,0.507804,0.939377,1,0.639599,0.661095,0.687052,1,1,1,0.940514,0.975529,0.996262
1665,0.003154574,4.11671907,987,0.364526,0.220656,0.37714,0.56472,0.934325,0.986008,1,0.507554,0.905471,1,0.641796,0.6616,0.684609,1,1,1,0.940353,0.975483,0.996771
1665,0.003218021,4.199517405,986,0.36556,0.246419,0.389853,0.53825,0.934376,0.985459,1,0.682553,0.930824,1,0.639867,0.66038,0.683814,1,1,1,0.937667,0.974072,0.996058
1665,0.003831418,5.00000049,985,0.366113,0.271416,0.428639,0.54685,0.926383,0.972366,1,0.682516,0.971651,1,0.640168,0.661503,0.686537,1,1,1,0.937349,0.97503,0.99578
1665,0.003834356,5.00383458,983,0.366016,0.223391,0.411044,0.541395,0.928772,0.978822,1,0.681623,0.972187,1,0.641605,0.662059,0.685476,1,1,1,0.942991,0.975776,0.996815
1665,0.003837299,5.007675195,978,0.375477,0.266676,0.425121,0.574213,0.931403,0.978541,1,0.679697,0.978839,1,0.644011,0.664488,0.690204,1,1,1,0.944479,0.976991,0.99679
1665,0.003843198,5.01537339,977,0.376537,0.257803,0.408044,0.530087,0.938353,0.980913,1,0.679661,0.955974,1,0.64411,0.665938,0.692351,1,1,1,0.946384,0.977163,0.998076
1665,0.003846154,5.01923097,975,0.376905,0.27416,0.436792,0.577385,0.916617,0.97326,1,0.679291,0.978251,1,0.645448,0.665835,0.690658,1,1,1,0.955887,0.983364,0.999004
1665,0.003849115,5.023095075,973,0.378463,0.231276,0.419342,0.536506,0.932517,0.978107,1,0.678886,0.962354,1,0.645996,0.666447,0.69193,1,1,1,0.961599,0.985677,0.999548
1665,0.00385208,5.0269644,972,0.381735,0.24178,0.408816,0.541578,0.934538,0.98162,1,0.677452,0.95292,1,0.647063,0.667911,0.693511,1,1,1,0.960543,0.986089,0.999125
1665,0.00385505,5.03084025,971,0.381999,0.261387,0.425083,0.551092,0.934741,0.979925,1,0.677305,0.976313,1,0.647426,0.668383,0.693899,1,1,1,0.961836,0.987138,0.999111
1665,0.003858025,5.034722625,970,0.382718,0.242253,0.421271,0.559659,0.931673,0.978742,1,0.677268,0.954636,1,0.647125,0.668484,0.692977,1,1,1,0.960688,0.98687,0.998863
1665,0.003863988,5.04250434,969,0.383231,0.227671,0.413588,0.571984,0.919653,0.980887,1,0.503433,0.958026,1,0.647284,0.66911,0.693334,1,1,1,0.967382,0.9875,0.999568
1665,0.003869969,5.050309545,965,0.383924,0.249297,0.421054,0.570147,0.920553,0.97986,1,0.676353,0.964278,1,0.647502,0.669192,0.692731,1,1,1,0.959667,0.986021,0.998933
1665,0.003872967,5.054221935,960,0.386162,0.266245,0.417011,0.542567,0.937123,0.98268,1,0.675549,0.959176,1,0.649427,0.671292,0.696522,1,1,1,0.964015,0.987403,0.999267
1665,0.003875969,5.058139545,957,0.419701,0.245823,0.421654,0.564782,0.94145,0.985441,1,0.67037,0.963241,1,0.653969,0.676992,0.698099,1,1,1,0.957157,0.985434,0.998768
1665,0.003878976,5.06206368,956,0.420065,0.252223,0.40545,0.546803,0.941652,0.989066,1,0.498361,0.950554,1,0.653359,0.67721,0.699574,1,1,1,0.956515,0.984267,0.998686
1665,0.003881988,5.06599434,955,0.421141,0.264172,0.423154,0.562164,0.944768,0.985249,1,0.670083,0.97067,1,0.653554,0.677668,0.698449,1,1,1,0.957794,0.984541,0.998835
1665,0.003894081,5.081775705,954,0.420369,0.250415,0.405643,0.538792,0.945173,0.988143,1,0.669743,0.939997,1,0.653188,0.677619,0.699555,1,1,1,0.959134,0.984958,0.999155
1665,0.003897116,5.08573638,953,0.42135,0.279181,0.434957,0.557755,0.945223,0.983964,1,0.66976,0.970569,1,0.654155,0.677396,0.699088,1,1,1,0.955452,0.98474,0.998794
1665,0.00390625,5.09765625,952,0.422525,0.264623,0.419499,0.55739,0.929711,0.986015,1,0.669724,0.961889,1,0.654967,0.677933,0.698051,1,1,1,0.959797,0.984979,0.998612
1665,0.003915427,5.109632235,951,0.423687,0.266367,0.417916,0.564441,0.929715,0.988478,1,0.669688,0.965336,1,0.655664,0.679564,0.700751,1,1,1,0.958999,0.985148,0.999163
1665,0.004604758,6.00920919,950,0.424695,0.261949,0.433856,0.579801,0.929811,0.982793,1,0.669652,0.974759,1,0.655054,0.678997,0.699607,1,1,1,0.958772,0.985383,0.999616
1665,0.004615385,6.023077425,947,0.428175,0.2608,0.434137,0.555146,0.947104,0.984157,1,0.666369,0.972128,1,0.657692,0.682323,0.703922,1,1,1,0.960255,0.986476,0.999546
1665,0.004618938,6.02771409,945,0.428953,0.238551,0.439144,0.580988,0.929763,0.982989,1,0.666262,0.971059,1,0.656297,0.682014,0.704875,1,1,1,0.963027,0.987888,0.999397
1665,0.004633205,6.046332525,943,0.430387,0.299362,0.450181,0.574531,0.947164,0.980579,1,0.936269,0.985605,1,0.660629,0.683594,0.706122,1,1,1,0.966203,0.98904,0.99985
1665,0.004636785,6.051004425,942,0.429714,0.296792,0.447701,0.577889,0.930903,0.9813,1,0.93501,0.983845,1,0.659135,0.683646,0.706251,1,1,1,0.963089,0.98837,0.99949
1665,0.004640371,6.055684155,941,0.430674,0.282342,0.444497,0.592797,0.929245,0.983218,1,0.665411,0.977647,1,0.659856,0.684307,0.706055,1,1,1,0.966646,0.989358,0.99953
1665,0.00464756,6.0650658,939,0.434558,0.270534,0.444524,0.570417,0.936435,0.984391,1,0.664915,0.973878,1,0.659439,0.684155,0.705868,1,1,1,0.964215,0.988186,0.999508
1665,0.004651163,6.069767715,936,0.436276,0.273234,0.427094,0.573437,0.930719,0.986219,1,0.664456,0.973258,1,0.671456,0.688861,0.708036,1,1,1,0.976528,0.991933,0.999684
1665,0.004658385,6.079192425,935,0.447381,0.276446,0.444866,0.554206,0.953516,0.987938,1,0.661888,0.979432,1,0.675569,0.691934,0.711524,1,1,1,0.977188,0.991893,0.999639
1665,0.004669261,6.093385605,933,0.447609,0.281712,0.445154,0.580427,0.934025,0.984763,1,0.661677,0.974719,1,0.676288,0.692247,0.710213,1,1,1,0.977014,0.991888,0.999682
1665,0.004672897,6.098130585,932,0.446621,0.285047,0.454513,0.585066,0.934619,0.985859,1,0.661257,0.982427,1,0.675918,0.69183,0.710454,1,1,1,0.976156,0.992051,0.99957
1665,0.004680187,6.107644035,931,0.446949,0.301474,0.442858,0.570281,0.941618,0.98771,1,0.929075,0.980134,1,0.674202,0.691671,0.709517,1,1,1,0.973517,0.991421,0.99989
1665,0.0046875,6.1171875,929,0.448785,0.230632,0.429535,0.566068,0.941864,0.9891,1,0.66103,0.962638,1,0.676462,0.692785,0.711151,1,1,1,0.974608,0.992269,0.999708
1665,0.004691165,6.121970325,928,0.449216,0.245609,0.435217,0.559162,0.954727,0.98879,1,0.661047,0.965507,1,0.675883,0.692788,0.711908,1,1,1,0.975345,0.992159,0.999659
1665,0.005368098,7.00536789,926,0.44944,0.322285,0.457822,0.595165,0.937345,0.983182,1,0.928795,0.988259,1,0.675139,0.693216,0.713351,1,1,1,0.97717,0.992008,0.99969
1665,0.005372218,7.01074449,925,0.449968,0.324705,0.473181,0.590174,0.937395,0.978941,1,0.928746,0.993452,1,0.677353,0.69414,0.713842,1,1,1,0.978011,0.992483,0.999746
1665,0.005380476,7.02152118,923,0.450728,0.308564,0.460041,0.591736,0.937949,0.983175,1,0.928059,0.98721,1,0.679342,0.694501,0.71374,1,1,1,0.980614,0.993114,0.999702
1665,0.005384615,7.026922575,921,0.449381,0.290261,0.466982,0.56805,0.939922,0.982693,1,0.926037,0.988748,1,0.679293,0.694917,0.712743,1,1,1,0.979649,0.993496,0.999762
1665,0.00538876,7.0323318,919,0.456429,0.303122,0.464536,0.586867,0.940454,0.983827,1,0.923569,0.985391,1,0.679353,0.695876,0.714148,1,1,1,0.979921,0.99337,0.9995
1665,0.005392912,7.03775016,918,0.464691,0.32806,0.463983,0.593226,0.934245,0.985195,1,0.950762,0.990434,1,0.681187,0.697613,0.714497,1,1,1,0.978805,0.993183,0.999689
